ticker,empresa,cd_cvm,setor,preco_data,valor_mercado_brl,liquidez_63d_brl,pl,pvpa,roe_ltm,roe_med5,div_liq_ebitda,cagr_receita,cagr_lucro,conversao_caixa,status,criterios_reprovados,criterios_nao_avaliados,ultima_demonstracao,dt_receb_ultimo_doc,link_doc,fontes
PDTC3,PADTEC HOLDING S.A.,18414,Emp. Adm. Part. - Telecomunicações,2026-07-27,,72513.26984126984,indisponivel,indisponivel,10.92,6.40,17.82,-82.93,-87.15,1.63,REPROVADA,ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR receita > 10%; CAGR lucro > 10%; Receita estável (sem queda >15%); Lucro positivo nos 5 anos; CFO positivo em >=4 dos 5 anos; Liquidez >= R$5M/dia,P/VPA < 1; P/L positivo e baixo,2026-03-31,2026-05-06,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156770,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
"PATI3,PATI4",PANATLANTICA S.A.,94,Metalurgia e Siderurgia,2026-07-20,722487040.0,30780.68253968254,14.82,0.95,6.50,6.59,-0.09,-7.80,-35.79,4.36,REPROVADA,P/L positivo e baixo; ROE mediano 5a > 12%; CAGR receita > 10%; CAGR lucro > 10%; Receita estável (sem queda >15%); Liquidez >= R$5M/dia,,2026-03-31,2026-05-15,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157561,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
,PATRIMAR ENGENHARIA S.A.,25305,"Construção Civil, Mat. Constr. e Decoração",,,,indisponivel,indisponivel,5.94,8.36,7.48,13.48,-23.22,-7.90,REPROVADA,ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR lucro > 10%; CFO positivo em >=4 dos 5 anos; FCF positivo em >=3 dos 5 anos,P/VPA < 1; P/L positivo e baixo; Liquidez >= R$5M/dia,2026-03-31,2026-05-15,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157649,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
PTBL3,PBG S/A,13773,"Construção Civil, Mat. Constr. e Decoração",2026-07-27,242497640.0,604444.0,prejuizo,nao_aplicavel,nao_aplicavel,-17.60,3.47,8.05,serie_nao_comparavel,nao_aplicavel,REPROVADA,P/L positivo e baixo; ROE mediano 5a > 12%; Dívida líq./EBITDA < 3; CAGR receita > 10%; Lucro positivo nos 5 anos; Liquidez >= R$5M/dia,P/VPA < 1; CAGR lucro > 10%,2026-03-31,2026-05-15,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157648,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
"PETR3,PETR4",PETROLEO BRASILEIRO S.A. PETROBRAS,9512,Petróleo e Gás,2026-07-27,566075776693.8899,1722999984.2539682,5.26,1.27,24.99,30.86,1.42,2.39,0.80,1.81,REPROVADA,P/VPA < 1; CAGR receita > 10%; CAGR lucro > 10%; Receita estável (sem queda >15%),,2026-03-31,2026-05-11,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157120,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
"PTNT3,PTNT4",PETTENATI S.A. INDUSTRIA TEXTIL,9539,Têxtil e Vestuário,2026-05-27,407113794.08000004,228118.4126984127,indisponivel,0.93,indisponivel,12.22,indisponivel,3.03,-5.42,indisponivel,REPROVADA,CAGR receita > 10%; CAGR lucro > 10%; Liquidez >= R$5M/dia,P/L positivo e baixo; Dívida líq./EBITDA < 3,2026-03-31,2026-05-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157459,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
POSI3,POSITIVO TECNOLOGIA S.A.,20362,Comunicação e Informática,2026-07-27,490022720.0,3662494.222222222,49.84,0.31,0.63,10.76,1.88,-0.08,-54.43,44.82,REPROVADA,P/L positivo e baixo; ROE mediano 5a > 12%; CAGR receita > 10%; CAGR lucro > 10%; Receita estável (sem queda >15%); CFO positivo em >=4 dos 5 anos; Liquidez >= R$5M/dia,,2026-03-31,2026-05-13,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157277,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
PRNR3,PRINER SERVIÇOS INDUSTRIAIS S.A.,24236,"Construção Civil, Mat. Constr. e Decoração",2026-07-27,1078828798.1399999,8080969.317460317,25.00,1.99,8.43,4.91,2.23,37.84,serie_nao_comparavel,3.91,REPROVADA,P/VPA < 1; P/L positivo e baixo; ROE mediano 5a > 12%; Lucro positivo nos 5 anos,CAGR lucro > 10%,2026-03-31,2026-05-14,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157436,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
PRIO3,PRIO S.A.,22187,Petróleo e Gás,2026-07-27,44984638711.26,530533708.25396824,17.37,1.69,9.88,42.55,2.66,37.22,14.00,3.83,REPROVADA,P/VPA < 1; P/L positivo e baixo,,2026-03-31,2026-05-05,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156641,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
PFRM3,PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,20346,Comércio (Atacado e Varejo),2026-07-27,760188200.0,1219927.507936508,7.21,0.57,7.85,8.04,1.34,15.59,11.05,4.68,REPROVADA,ROE mediano 5a > 12%; Liquidez >= R$5M/dia,,2026-03-31,2026-05-06,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156776,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
QUAL3,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,22497,Seguradoras e Corretoras,2026-07-27,395685764.82,5962210.666666667,25.98,0.30,1.17,0.67,nao_aplicavel,-9.17,-58.68,15.72,REPROVADA,P/L positivo e baixo; ROE mediano 5a > 12%; CAGR receita > 10%; CAGR lucro > 10%; Lucro positivo nos 5 anos,Dívida líq./EBITDA < 3; CFO positivo em >=4 dos 5 anos; FCF positivo em >=3 dos 5 anos,2026-03-31,2026-05-13,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157310,CVM DFP/ITR (dados.cvm.gov.br); B3 COTAHIST; preços não ajustados
